cveID,count
CVE-2024-44309,1
CVE-2024-21287,1
CVE-2023-28461,1
CVE-2023-45727,1
CVE-2024-11680,1
CVE-2024-11667,1
CVE-2024-51378,1
CVE-2021-41277,1
CVE-2024-43451,1
CVE-2024-49039,1
CVE-2024-38094,1
CVE-2024-9379,1
CVE-2024-9380,1
CVE-2024-30088,1
CVE-2024-9680,1
CVE-2024-28987,1
CVE-2024-40711,1
CVE-2024-9537,1
CVE-2024-47575,1
CVE-2019-16278,1
CVE-2024-20481,1
CVE-2024-37383,1
CVE-2024-8957,1
CVE-2024-8956,1
CVE-2024-5910,1
CVE-2024-43093,1
CVE-2024-51567,1
CVE-2023-38035,1
CVE-2023-26359,1
CVE-2014-4113,1
CVE-2018-4344,1
CVE-2016-5198,1
CVE-2017-5030,1
CVE-2017-5070,1
CVE-2017-6862,1
CVE-2018-17463,1
CVE-2018-17480,1
CVE-2018-4990,1
CVE-2018-6065,1
CVE-2019-15271,1
CVE-2019-5825,1
CVE-2019-7192,1
CVE-2019-7193,1
CVE-2019-7194,1
CVE-2019-7195,1
CVE-2016-2388,1
CVE-2016-2386,1
CVE-2021-38163,1
CVE-2016-1646,1
CVE-2013-1331,1
CVE-2012-5054,1
CVE-2010-1297,1
CVE-2007-5659,1
CVE-2008-0655,1
CVE-2009-0557,1
CVE-2009-0563,1
CVE-2009-1862,1
CVE-2009-3953,1
CVE-2009-4324,1
CVE-2010-2572,1
CVE-2012-4969,1
CVE-2010-2883,1
CVE-2011-0609,1
CVE-2011-2462,1
CVE-2012-0151,1
CVE-2012-0754,1
CVE-2012-0767,1
CVE-2012-1889,1
CVE-2022-30190,1
CVE-2019-8605,1
CVE-2022-26134,1
CVE-2020-9907,1
CVE-2022-0028,1
CVE-2020-28949,1
CVE-2020-36193,1
CVE-2021-31010,1
CVE-2021-38406,1
CVE-2021-39226,1
CVE-2022-2294,1
CVE-2022-22963,1
CVE-2022-24112,1
CVE-2022-24706,1
CVE-2022-26352,1
CVE-2011-1823,1
CVE-2011-4723,1
CVE-2017-5521,1
CVE-2018-13374,1
CVE-2018-2628,1
CVE-2018-6530,1
CVE-2022-22536,1
CVE-2022-32894,1
CVE-2022-32893,1
CVE-2022-26138,1
CVE-2020-3837,1
CVE-2021-30983,1
CVE-2021-4034,1
CVE-2021-30533,1
CVE-2022-29499,1
CVE-2022-26925,1
CVE-2022-22047,1
CVE-2022-27924,1
CVE-2022-2856,1
CVE-2022-30333,1
CVE-2022-34713,1
CVE-2022-37042,1
CVE-2022-27925,1
CVE-2017-15944,1
CVE-2022-21971,1
CVE-2022-26923,1
CVE-2006-2492,1
CVE-2019-3010,1
CVE-2020-9934,1
CVE-2017-0149,1
CVE-2020-0638,1
CVE-2020-1027,1
CVE-2021-30883,1
CVE-2021-0920,1
CVE-2021-1048,1
CVE-2022-20821,1
CVE-2016-3298,1
CVE-2016-6367,1
CVE-2016-6366,1
CVE-2016-4657,1
CVE-2016-4656,1
CVE-2016-4655,1
CVE-2016-3351,1
